-0.000547, -0.000858, -0.000051, 0.138911, -0.337099, 9.769884, -0.140876, 0.148296, 0.404922, 960.024048, 0.999981, -0.001421, -0.000592, -0.006053, -0.002836, -0.001201, -0.012105
-0.000547, -0.001793, -0.000986, 0.134121, -0.332309, 9.763896, -0.140639, 0.148070, 0.406812, 980.022034, 0.999919, -0.002751, -0.001123, -0.012363, -0.005473, -0.002314, -0.024721
0.001946, -0.001793, -0.000051, 0.125739, -0.343087, 9.763896, -0.140994, 0.145508, 0.409634, 1000.022034, 0.999814, -0.004031, -0.001571, -0.018771, -0.008002, -0.003293, -0.037532
-0.001170, 0.001011, -0.000362, 0.127535, -0.344883, 9.769285, -0.139453, 0.150445, 0.403597, 1020.022034, 0.999649, -0.005283, -0.001952, -0.025880, -0.010461, -0.004176, -0.051745
-0.000858, 0.001011, -0.001609, 0.132924, -0.340692, 9.770483, -0.139097, 0.149381, 0.410651, 1040.022095, 0.999429, -0.006447, -0.002315, -0.033082, -0.012733, -0.005054, -0.066146
-0.001170, -0.001170, -0.000674, 0.136516, -0.341290, 9.765693, -0.142299, 0.149290, 0.402564, 1060.022095, 0.999133, -0.007556, -0.002673, -0.040841, -0.014882, -0.005959, -0.081663
0.001634, 0.000388, -0.001297, 0.138312, -0.334105, 9.768686, -0.138504, 0.143739, 0.406630, 1080.022095, 0.998784, -0.008546, -0.002987, -0.048460, -0.016782, -0.006795, -0.096904
-0.001793, -0.002728, -0.002544, 0.137115, -0.334704, 9.763896, -0.142180, 0.148814, 0.410403, 1100.022095, 0.998344, -0.009521, -0.003285, -0.056644, -0.018641, -0.007638, -0.113284
-0.001793, 0.000076, 0.001196, 0.132924, -0.338895, 9.762699, -0.143603, 0.145094, 0.408247, 1120.022095, 0.997825, -0.010458, -0.003497, -0.064990, -0.020418, -0.008339, -0.129995
-0.001482, 0.001011, 0.001819, 0.142504, -0.336500, 9.756112, -0.145026, 0.143670, 0.409473, 1140.022095, 0.997219, -0.011332, -0.003708, -0.073567, -0.022058, -0.009062, -0.147177
-0.001482, -0.001793, -0.001609, 0.143102, -0.343685, 9.772279, -0.142062, 0.146284, 0.408025, 1160.022095, 0.996499, -0.012186, -0.003910, -0.082623, -0.023644, -0.009806, -0.165333
-0.000858, 0.000699, 0.000884, 0.134121, -0.336500, 9.763896, -0.142180, 0.142408, 0.407879, 1180.022095, 0.995688, -0.012951, -0.004019, -0.091770, -0.025057, -0.010380, -0.183685
-0.001170, -0.000235, 0.000261, 0.131127, -0.344883, 9.763896, -0.140520, 0.145660, 0.407734, 1200.022095, 0.994744, -0.013710, -0.004089, -0.101388, -0.026452, -0.010915, -0.203002
0.000076, -0.000858, 0.001507, 0.135319, -0.337698, 9.772279, -0.142773, 0.147204, 0.405658, 1220.022095, 0.993650, -0.014383, -0.004154, -0.111513, -0.027663, -0.011464, -0.223358
-0.002416, 0.001323, 0.001507, 0.138911, -0.338297, 9.761501, -0.137911, 0.147042, 0.410045, 1240.022095, 0.992442, -0.015044, -0.004184, -0.121719, -0.028848, -0.011968, -0.243900
